,year,date,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,temp_mean_daily_min,temp_mean_daily_max,wet_bulb_temperature,fatal_injuries_ts,light_injuries_ts,major_injuries_ts,sum_injuries_ts,fatal_injuries_constr,light_injuries_constr,major_injuries_constr,sum_injuries_constr
1,2015,2015-06-16 12:00:00,31.833333333333332,10.416666666666666,105.59166666666665,76.89999999999999,45.25,6.166666666666667,28.25,25.766666666666666,31.875,25.027540162570403,15.0,1189.0,44.0,1248.0,27,2471,176,2674
2,2016,2016-06-16 08:00:00,49.38333333333333,14.916666666666666,162.975,75.95,44.666666666666664,6.0,28.416666666666668,25.78333333333333,31.991666666666664,25.053216279405103,11.0,1236.0,51.0,1298.0,24,2612,167,2803
3,2017,2017-06-16 12:00:00,38.75,17.0,170.46666666666667,82.625,52.916666666666664,5.8,27.7,25.241666666666664,31.141666666666666,25.331428251408088,7.0,1186.0,74.0,1267.0,12,2221,129,2362
4,2018,2018-06-16 12:00:00,34.93333333333333,15.666666666666666,142.35,79.60000000000001,45.416666666666664,5.75,27.891666666666666,25.358333333333334,31.583333333333332,25.072693559054446,4.0,1197.0,52.0,1253.0,14,2109,147,2270
5,2019,2019-06-16 12:00:00,37.86666666666667,10.0,113.95833333333333,76.64999999999999,43.916666666666664,6.783333333333334,28.425,25.916666666666668,32.300000000000004,25.170449388760883,8.0,1185.0,62.0,1255.0,13,2387,135,2535
7,2021,2021-06-16 12:00:00,64.21666666666667,15.166666666666666,234.13333333333333,78.45,46.166666666666664,6.125,27.90833333333333,25.258333333333336,31.666666666666668,24.977602806579622,9.0,1046.0,59.0,1114.0,13,2258,126,2397
8,2022,2022-06-16 12:00:00,42.15,17.5,183.9333333333333,78.61666666666666,49.5,5.3,27.866666666666664,25.166666666666668,31.566666666666666,24.972561523937532,9.0,982.0,61.0,1052.0,14,2235,157,2406
